index,prediction,truth
1428239,fetch a purple neutral tiny key,go fetch a light tiny blue key
1428326,fetch a blue dark large key,go get a yellow giant dark ball
1428327,go get a large green very_dark key,go fetch a green very_dark large key
1428375,go fetch a neutral purple giant ball,get a neutral yellow giant ball
1428443,get a giant neutral blue key,fetch a neutral giant blue key
1428551,go fetch a yellow giant dark ball,go get a grey giant neutral ball
1428556,go get a large blue very_dark ball,you must fetch a large purple very_dark key
1428644,go get a red giant very_dark ball,fetch a very_dark giant red ball
1428647,you must fetch a tiny dark neutral ball,go get a neutral tiny green ball
1428663,go fetch a light small yellow key,get a light small yellow key
1428703,go get a blue neutral small ball,go fetch a dark tiny red ball
1428705,go get a grey neutral tiny ball,go get a tiny grey neutral ball
1428848,fetch a small yellow light ball,you must fetch a grey small light key
1429134,you must fetch a red very_dark giant ball,you must fetch a red very_dark giant ball
1429144,fetch fetch a yellow giant dark key,fetch a dark giant purple ball
1429276,you get a very_light red key,fetch a large blue light ball
1429313,you must fetch a medium green dark key,go fetch a green dark large key
1429783,go get a purple large light key,you must fetch a light purple giant key
1429790,fetch a blue very_light medium key,fetch a blue light medium key
1430262,you must fetch a red dark tiny ball,go get a green small neutral ball
1430346,go fetch a light blue tiny ball,go fetch a tiny blue light ball
1430354,get a medium neutral purple ball,get a grey light medium key
1430478,fetch a tiny tiny very_light key,fetch a light blue tiny key
1430512,fetch a green light small ball,fetch a small light blue ball
1430882,fetch a green tiny very_dark key,go get a tiny green very_dark key
1430953,fetch a small small blue key,go get a neutral small green key
1430963,go fetch a large red dark ball,get a red neutral large ball
1430973,you must giant light purple ball,go get a neutral purple giant ball
1431029,you must fetch a purple neutral medium key,get a neutral medium purple key
1431044,fetch a purple neutral medium key,get a neutral small red key
1431242,get a purple very_dark giant key,you must fetch a large purple very_dark key
1431523,you must fetch a small neutral grey ball,you must fetch a grey small light ball
1431618,fetch a large grey very_light key,you must fetch a light grey medium key
1432063,go fetch a tiny red light ball,you must fetch a small green light ball
1432325,you must fetch a very_dark small green ball,fetch a very_dark red medium ball
1432330,you must fetch a very_light medium purple key,you must fetch a very_light medium blue key
1432517,get a giant red neutral ball,get a giant neutral green key
1432520,get a very_dark tiny purple ball,go fetch a purple tiny very_dark ball
1432684,go fetch a green giant very_light key,get a red very_light giant key
1432910,fetch a very_light medium blue key,go get a small green neutral key
1433020,fetch a neutral purple green key,go get a small blue neutral key
1433080,get a neutral red red ball,you must fetch a medium neutral red ball
1433187,go get a medium red very_light ball,go fetch a medium red very_light key
1433346,go fetch a grey light large key,get a large grey very_light ball
1433818,get a neutral giant purple key,fetch a yellow light giant key
1433824,go get a purple giant key,go get a blue dark giant key
1433989,go get a giant red green key,fetch a green giant light ball
1434152,get a neutral large grey ball,go get a very_light large grey ball
1434237,fetch a large red red key,go get a neutral medium red ball
1434264,go fetch light medium blue key,get a medium purple very_light key
1434665,get a medium neutral grey ball,go fetch a grey medium light key
1434730,you must fetch a red small light key,fetch a small red light key
1434828,you must fetch a light green small key,go fetch a light small blue key
1434834,fetch a tiny very_dark purple ball,you must fetch a tiny very_dark purple ball
1434927,go fetch a giant neutral blue key,you must fetch a giant neutral purple key
1435084,go get a very_light medium blue key,fetch a very_light blue medium key
1435097,get a giant blue neutral ball,go get a blue giant neutral ball
1435109,fetch a medium neutral purple key,you must fetch a green dark small key
1435260,fetch a very_dark tiny grey ball,get a tiny very_dark grey ball
1435279,get a very_dark large green key,get a blue very_dark medium key
1435332,go fetch a grey small dark ball,you must fetch a small dark grey ball
1435445,go fetch a large blue very_light ball,get a very_light large red ball
1435669,go get a small light small ball,get a very_light blue tiny ball
1435730,get a very_dark giant green ball,go fetch a giant red very_dark ball
1435734,go fetch a dark medium grey ball,get a medium grey dark ball
1435790,go get a large blue very_dark key,fetch a very_dark large green key
1435813,you must fetch a very_light small blue ball,go fetch a blue very_light small ball
1435867,get a medium dark grey ball,fetch a dark purple medium ball
1435932,go fetch a very_dark giant purple giant ball,go get a very_dark purple giant ball
1435935,fetch a tiny green light key,get a green neutral tiny key
1435944,fetch a fetch a very_dark small blue ball,fetch a small very_dark blue ball
1435955,medium a light small green key,get a tiny very_dark green key
1436047,get a neutral medium purple key,get a medium purple dark key
1436110,fetch a neutral red large ball,get a red dark large ball
1436123,go fetch a red small light ball,fetch a light blue tiny key
1436682,you must fetch a light green small key,fetch a blue small very_light key
1436691,get a blue giant dark ball,go get a green dark giant ball
1436700,go get a dark green medium key,go get a red very_dark medium key
1436738,fetch fetch a medium grey dark ball,go fetch a medium grey dark ball
1436824,get a blue very_light small key,go fetch a green small light key
1437043,go fetch a large dark red ball,you must fetch a giant neutral green key
1437251,go get a neutral red giant key,go get a neutral giant green key
1437300,go get a purple giant light key,you must fetch a yellow giant light key
1437307,fetch a very_light purple tiny key,fetch a green tiny neutral key
1437430,you must fetch a neutral purple medium key,you must fetch a grey light large key
1437437,you must fetch a red giant neutral ball,get a red giant neutral ball
1437512,go fetch a giant red very_dark ball,get a green dark giant ball
1437595,get a tiny neutral light key,get a neutral yellow tiny key
1437742,you must fetch a small purple dark ball,go get a purple very_dark tiny key
1437788,you must fetch a giant red very_light key,fetch a red giant very_light key
1437851,fetch a purple green very_dark ball,you must fetch a tiny very_dark green ball
1437853,you must fetch a neutral green small key,go fetch a small neutral green key
1437885,go fetch a blue medium very_dark key,you must fetch a medium very_dark green key
1437990,fetch a very_dark very_dark small ball,you must fetch a very_dark grey tiny ball
1437996,go get a purple giant dark ball,get a blue dark giant ball
1438145,go fetch a giant yellow very_dark ball,go fetch a yellow giant very_dark key
1438174,fetch a tiny light light ball,go fetch a medium neutral red ball
1438216,get a medium dark purple key,go fetch a medium dark blue key
1438376,get a red very_dark medium ball,go get a medium very_dark red ball
1438488,fetch a giant purple neutral ball,fetch a purple giant neutral ball
1438854,go get a very_dark red giant ball,get a giant very_dark red ball
1438899,go fetch a very_light small green ball,go get a very_light blue small key
1438909,you must fetch a dark large green key,go get a dark large blue key
1438960,fetch a fetch a large dark yellow key,you must fetch a grey large dark key
1439034,go fetch a light large blue ball,fetch a green light giant ball
1439117,go get a very_dark tiny purple key,you must fetch a very_dark purple tiny key
1439221,go get a grey tiny neutral key,you must fetch a tiny neutral grey key
1439412,get a giant blue giant ball,go get a dark blue giant key
1439599,go get a tiny neutral grey key,you must fetch a grey tiny neutral key
1439814,go get a light tiny grey key,go get a grey very_light tiny key
1439841,fetch a tiny very_light very_light blue ball,go fetch a blue tiny very_light ball
1439879,fetch a tiny purple neutral ball,get a yellow neutral tiny key
1439912,fetch a neutral yellow light ball,go fetch a grey large very_light ball
1440086,fetch a small light blue key,go get a small blue neutral key
1440180,get a light small green key,fetch a neutral red small key
1440254,fetch a medium grey dark key,fetch a dark grey medium key
1440392,get a large dark purple ball,go get a giant yellow neutral ball
1440468,fetch a light green large ball,fetch a green large very_light key
1440480,go get a green small neutral key,go get a red dark tiny key
1440564,fetch a giant very_dark very_dark ball,go get a giant purple very_dark ball
1440627,fetch a light small grey key,fetch a neutral small grey key
1440679,go get a neutral giant green ball,fetch a giant dark green ball
1440746,go get a blue dark large key,go get a blue large dark key
1440773,go get a large yellow very_dark key,fetch a very_dark yellow giant key
1440779,you must fetch a giant neutral green ball,fetch a purple giant neutral key
1440786,go get a very_light large purple key,go get a purple large light key
1440870,you must fetch a red large very_dark key,fetch a very_dark large green key
1441021,fetch a medium grey dark key,go get a dark grey medium key
1441064,get a yellow giant neutral ball,you must fetch a dark yellow giant ball
1441111,get a giant neutral purple ball,go fetch a giant neutral purple ball
1441126,you must fetch a grey dark large key,go fetch a grey dark medium key
1441173,you must fetch a small green very_dark ball,go get a small green very_dark key
1441220,fetch a neutral blue giant key,get a purple giant light key
1441435,you must fetch a large blue light ball,fetch a large dark blue ball
1441452,get a very_dark yellow large key,go get a very_dark large yellow key
1441539,you must fetch a very_dark tiny purple key,get a tiny green very_dark ball
1441606,get a purple giant purple key,you must fetch a very_dark giant purple key
1441652,you must fetch a giant very_dark red ball,fetch a green very_dark giant key
1441738,fetch a neutral red medium key,get a medium green light key
1441743,go get a neutral medium red ball,fetch a green dark medium key
1441972,you must small very_light red ball,fetch a green very_light small ball
1442064,fetch a blue giant neutral neutral ball,you must fetch a neutral giant purple key
1442116,go get a very_light large green ball,get a very_light green giant key
1442157,go get a tiny very_light blue ball,go fetch a blue light small ball
1442159,get a yellow large grey dark,get a grey giant neutral ball
1442252,you must fetch a blue small very_dark ball,go get a small grey light ball
1442298,fetch a blue giant neutral key,go fetch a red dark large key
1442540,go get a medium dark blue key,you must fetch a medium neutral blue ball
1442565,get a very_dark medium blue key,go fetch a very_dark blue medium key
1442666,you must fetch a light purple small key,fetch a light purple small key
1442671,go get a red tiny dark key,you must fetch a red tiny dark key
1443057,get a green very_dark tiny key,you must fetch a very_dark green tiny key
1443240,fetch a red neutral red key,fetch a red neutral small key
1443248,go fetch a giant blue very_dark ball,get a giant very_dark purple ball
1443368,go get a light purple large ball,go get a blue large light ball
1443372,get must fetch a dark small green key,you must fetch a purple small neutral key
1443421,get a green large very_light ball,get a very_light large red ball
1443685,fetch a small very_light green key,go fetch a medium red light key
1443694,go get a small blue very_light ball,get a small green light ball
1443752,go get a light purple medium key,go fetch a medium light purple key
1443812,fetch a tiny blue neutral ball,fetch a tiny dark blue ball
1443822,get a small grey dark key,go get a dark small grey key
1443985,go get a dark purple medium ball,go get a very_dark purple medium ball
1444116,fetch a very_dark tiny purple ball,get a very_dark tiny purple ball
1444430,go fetch a giant neutral blue key,you must fetch a blue neutral giant key
1444489,go fetch a grey large grey key,you must fetch a very_light large grey ball
1444646,go get a small purple light key,fetch a purple small very_light key
1444728,fetch a small neutral green ball,get a green neutral tiny key
1445016,you must fetch a very_dark giant red key,fetch a giant red very_dark ball
1445255,go fetch a dark green medium ball,fetch a medium very_dark green ball
1445342,fetch a neutral purple medium key,fetch a purple medium light key
1445562,go get a tiny light grey ball,get a grey tiny light ball
1445616,go fetch a tiny neutral yellow ball,go fetch a tiny neutral grey key
1445696,go get a green tiny dark key,go fetch a dark red tiny key
1445769,go get a medium very_dark purple ball,go fetch a purple medium very_dark ball
1445821,get a green medium very_dark key,get a green very_dark medium key
1445854,you must fetch a blue dark small ball,go fetch a blue very_dark medium key
1446017,fetch a green light small key,fetch a neutral small blue ball
1446099,fetch a purple tiny tiny key,you must fetch a purple tiny neutral key
1446193,get a green dark tiny key,you must fetch a tiny red dark key
1446405,get a light very_light purple key,get a large purple very_light ball
1446660,fetch a dark purple medium ball,you must fetch a large blue dark ball
1446804,go fetch a large neutral red ball,get a giant red neutral key
1447008,get a purple very_dark tiny ball,get a purple very_dark tiny key
1447035,fetch a red giant very_dark ball,you must fetch a giant very_dark red ball
1447086,fetch a blue medium very_dark key,you must fetch a very_dark blue medium key
1447574,get a purple small very_dark ball,you must fetch a small purple very_dark ball
1447740,go get a tiny grey ball,go get a tiny grey dark ball
1448400,get a very_light small green ball,fetch a blue very_light small ball
1448573,you must fetch a medium red neutral ball,fetch a red medium light ball
1448666,you must fetch a purple small neutral key,you must fetch a light medium grey key
1448683,go get a yellow very_dark large key,go get a large yellow very_dark ball
1448790,you must fetch a very_dark yellow large key,go fetch a purple giant very_dark ball
1449033,get a light small blue ball,fetch a small neutral purple key
1449035,get a light tiny blue ball,get a neutral purple tiny key
1449043,go fetch a yellow very_light medium key,go get a blue small very_light key
1449177,go get a neutral purple tiny key,go get a blue light small ball
1449207,get a green dark medium ball,get a very_dark medium green ball
1449242,you must fetch a giant blue dark ball,go get a green very_dark large key
1449286,go get a grey medium purple ball,fetch a yellow dark medium ball
1449409,you must fetch a blue medium very_light key,go fetch a small light purple key
1449770,get a very_dark large red key,you must fetch a green very_dark large key
1449775,go fetch a grey tiny grey key,go fetch a small grey neutral ball
1450003,get a small yellow light key,you must fetch a neutral purple small key
1450008,go get a dark very_dark medium ball,you must fetch a green very_dark medium ball
1450036,you must fetch a medium very_light red ball,go get a very_light medium red ball
1450042,you must fetch a blue light large ball,you must fetch a blue large light ball
1450212,get a purple medium very_dark green ball,fetch a blue medium very_dark key
1450414,fetch a fetch a giant very_dark ball,get a giant blue very_dark ball
1450580,go get a red large very_dark key,go fetch a red very_dark large key
1450582,go fetch a yellow very_dark giant key,you must fetch a yellow very_dark large ball
1450690,go get a dark grey medium ball,fetch a grey medium dark ball
1450884,go fetch a blue large very_light key,go fetch a purple medium very_light key
1450892,get a dark green giant key,get a giant green dark ball
1450904,go fetch a large very_light red ball,get a giant green light ball
1450967,go get a green light tiny key,go fetch a tiny green light key
1451022,go get a giant very_dark purple ball,you must fetch a giant very_dark yellow key
1451188,fetch a very_light medium red key,fetch a blue medium light key
1451243,you must fetch a small medium light key,get a red small neutral key
1451554,get a very_dark large yellow ball,get a very_dark yellow large ball
1451863,go get a neutral small red ball,fetch a small blue neutral key
1451951,you must fetch a small red very_dark ball,go get a very_dark small red ball
1452180,get a yellow medium yellow key,go get a neutral medium purple key
1452196,get a giant blue very_dark ball,get a very_dark giant blue ball
1452369,fetch a grey very_dark small ball,go fetch a dark medium grey ball
1452494,get a light purple large key,get a purple large light key
1452578,get a dark grey tiny ball,get a tiny neutral grey ball
1452634,go fetch a light tiny green key,fetch a light tiny blue ball
1452828,go get a large grey dark key,go fetch a large yellow very_dark ball
1453198,go get a giant blue very_dark key,fetch a dark giant blue key
1453206,go fetch a red small neutral ball,get a neutral red small key
1453217,go get a tiny tiny ball,go fetch a tiny grey light ball
1453413,you must fetch a dark tiny red key,get a red dark tiny key
1453542,you must fetch a purple very_dark large ball,you must fetch a yellow large very_dark ball
1453712,you must fetch a giant blue very_dark ball,fetch a dark green giant ball
1453893,get a purple neutral medium ball,get a very_dark medium blue key
1454260,go get a very_dark large purple ball,go fetch a large very_dark blue ball
1454462,go fetch a small light blue ball,get a blue very_light tiny ball
1454475,you must fetch a small light grey ball,get a light grey small ball
1454476,fetch a very_light blue small ball,go get a very_light small green ball
1454817,go get a light blue medium key,go get a medium purple very_light key
1455768,get a small yellow light ball,fetch a small yellow light ball
1455797,go get a neutral grey tiny key,you must fetch a purple light tiny ball
1455807,get a very_dark green very_dark ball,fetch a blue large very_dark ball
1455833,you a light green giant very_light ball,fetch a large green very_light key
1456033,go fetch a very_dark blue small ball,go get a small very_dark green ball
1456251,go fetch a small neutral grey ball,get a grey light small ball
1456908,go get a light grey tiny ball,go get a light grey tiny ball
1456938,get a neutral large purple key,go get a purple medium neutral key
1457148,fetch a tiny light blue ball,fetch a tiny purple neutral key
1457206,go fetch a light purple large key,fetch a purple large very_light ball
1457376,go get a green very_dark very_dark ball,go get a small green very_dark ball
1457862,go get a blue medium light ball,fetch a purple medium light key
1457958,fetch a large purple light key,go get a light blue large ball
1458095,fetch a red very_dark tiny key,get a very_dark green tiny key
1458162,go get a dark green giant ball,go get a dark green giant ball
1458309,fetch a red medium very_dark ball,go get a very_dark medium red ball
1458395,fetch a small light blue key,go get a blue light small ball
1458489,go fetch a tiny grey very_light ball,get a tiny grey light ball
1458512,go get a neutral small red key,get a green light small key
1458627,go get a green giant dark ball,you must fetch a blue giant dark ball
1458722,you must fetch red large ball,get a red dark large key
1458737,fetch a blue very_light tiny ball,you must fetch a purple very_light small key
1458785,go get a green tiny neutral ball,fetch a red dark tiny ball
1458974,go fetch a red very_dark red ball,go get a giant red very_dark ball
1459142,go fetch a yellow purple dark key,fetch a dark purple large key
1459158,go get a very_dark giant yellow key,fetch a purple very_dark giant ball
1459355,fetch a small neutral green ball,go get a small light blue ball
1459416,go get a neutral small grey key,go get a small grey neutral key
1459484,go get light a giant ball,get a giant green light ball
1459621,go fetch a grey large grey ball,fetch a grey very_light large ball
1459873,get a grey dark giant ball,fetch a neutral grey giant ball
1460019,you must fetch a grey neutral giant ball,fetch a giant neutral grey ball
1460458,get fetch a purple giant neutral key,you must fetch a giant blue neutral ball
1460578,get a a giant red neutral key,get a light giant green ball
1460582,go get a red large dark ball,go fetch a red dark large ball
1461093,go get a tiny grey very_light ball,go get a light tiny grey ball
1461481,get a green tiny light key,go fetch a light green small key
1461596,go get a small green light key,go get a red small light key
1461915,fetch a red very_dark tiny ball,fetch a small red very_dark ball
1462060,fetch a giant yellow neutral ball,go fetch a giant purple neutral ball
1462405,fetch a fetch large yellow very_dark key,go get a very_dark purple large key
1462507,go fetch a small green dark key,go fetch a red small dark ball
1462521,go fetch a very_dark blue giant ball,fetch a dark blue giant ball
1462569,go fetch a giant purple neutral key,you must fetch a giant neutral purple key
1462586,go get a dark medium grey key,fetch a medium yellow dark ball
1462929,fetch a yellow large neutral ball,you must fetch a yellow dark giant ball
1463045,fetch a very_dark green tiny ball,get a very_dark green small ball
1463084,you must fetch a large grey dark key,you must fetch a medium grey dark key
1463419,go get a neutral purple giant key,go get a light giant yellow key
1463603,fetch a small green dark ball,you must fetch a small very_dark red ball
1463701,go get a grey tiny dark ball,go get a very_dark tiny grey ball
1463764,go fetch a very_light small green key,go fetch a small blue light key
1463810,fetch a very_dark large yellow key,fetch a very_dark yellow large key
1463812,fetch must fetch a very_dark purple giant ball,get a very_dark purple giant key
1463901,you must fetch a tiny very_dark red key,you must fetch a tiny green very_dark key
1464001,you must fetch a dark giant purple key,get a purple very_dark giant key
1464006,you must fetch a red medium light key,get a red very_light giant key
1464053,go fetch a blue medium dark ball,get a very_dark medium blue key
1464080,you must fetch a large red very_light ball,fetch a medium red light ball
1464415,go fetch a red giant very_light ball,go get a very_light red large ball
1464429,you must fetch a purple small neutral key,go get a small grey light key
1464453,go get a tiny dark grey ball,you must fetch a dark tiny grey ball
1464537,go fetch a green giant light ball,go fetch a giant neutral blue key
1464584,fetch a very_dark giant neutral ball,you must fetch a red giant very_dark ball
1464813,get a very_light large red ball,go get a giant green very_light key
1464814,go get a tiny grey neutral ball,go fetch a tiny light grey ball
1465060,go get a large light purple key,go fetch a giant purple light key
1465148,go fetch a medium red ball,you must fetch a large red very_light ball
1465202,go fetch a tiny dark red ball,get a neutral tiny green ball
1465242,go get a medium light ball,get a light green tiny ball
1465292,get a a dark large blue key,fetch a dark blue large key
1465314,get a small grey neutral key,go fetch a light medium grey key
1465531,fetch a blue medium very_light key,you must fetch a very_light medium blue key
1465572,you must fetch a blue tiny light key,go get a neutral tiny green key
1465580,go get a light yellow giant key,go get a light yellow giant key
1465583,go fetch a giant very_dark giant ball,go fetch a green dark giant ball
1466286,fetch a tiny tiny light green ball,go get a very_light green tiny ball
1466332,get a very_dark grey tiny ball,go get a tiny very_dark yellow ball
1466461,go fetch a grey very_light light ball,go get a light yellow small ball
1466465,go fetch a small very_light grey ball,get a light yellow small ball
1466840,get a blue dark large key,you must fetch a dark large blue key
1467452,get a light medium red ball,go get a medium light red ball
1467458,go fetch a tiny very_dark purple key,get a very_dark tiny purple key
1467878,go get a small purple neutral key,get a purple neutral small key
1468045,go must fetch medium light purple ball,go fetch a neutral blue medium ball
1468057,go fetch a small neutral blue ball,fetch a neutral small green ball
1468095,get a giant very_dark purple ball,get a giant dark purple ball
1468135,go fetch a large very_dark yellow ball,get a yellow very_dark large ball
1468136,go fetch a green light small key,you must fetch a light small blue key
1468163,you must fetch a very_light small yellow ball,go get a blue light small ball
1468262,go fetch a green large key,you must fetch a neutral blue large key
1468303,you must fetch a green dark giant ball,go fetch a giant dark blue key
1468348,you must fetch a giant neutral yellow key,go fetch a purple neutral giant key
1468435,get a yellow giant dark ball,go fetch a neutral giant grey ball
1468598,go get a grey dark tiny ball,get a dark tiny grey ball
1468764,fetch a large blue dark key,you must fetch a giant dark blue key
1468849,you must fetch a small purple light ball,go fetch a purple small light key
1468895,get a purple very_dark giant ball,go fetch a giant blue very_dark ball
1468897,go fetch a very_dark blue giant key,go get a blue very_dark giant ball
1468966,get a grey small neutral ball,get a neutral grey small ball
1469099,fetch a medium purple very_dark key,you must fetch a small purple very_dark key
1469103,get a green small very_dark green key,go get a small very_dark red ball
1469105,fetch a neutral small purple key,fetch a small purple light key
1469268,go get a very_light large purple ball,you must fetch a very_light purple large ball
1469467,fetch a very_dark purple light key,you must fetch a giant neutral purple key
1469606,go get a dark giant green ball,go fetch a dark green giant ball
1469930,get a purple giant very_dark ball,you must fetch a very_dark giant blue ball
1470089,you must fetch a very_dark yellow giant ball,go get a very_dark yellow giant key
1470222,go get a small green neutral key,go fetch a green small neutral key
1470282,you must fetch a tiny green very_light ball,fetch a tiny green light ball
1470357,get a grey medium light key,fetch a green small neutral key
1470362,get a medium very_dark green key,get a medium green dark ball
1470372,go fetch a very_light medium red ball,you must fetch a medium red very_light ball
1470449,you must fetch a very_dark green medium key,get a medium blue very_dark key
1470459,fetch a tiny dark grey ball,go get a tiny neutral grey ball
1470584,get a small light yellow ball,get a very_light yellow medium key
1470595,go fetch a small small light ball,fetch a blue light small ball
1470803,go get a very_light tiny blue ball,fetch a tiny very_light blue ball
1470853,go get a light yellow giant key,fetch a giant purple very_light key
1470934,you must fetch a red small very_dark ball,you must fetch a red tiny dark ball
1471051,go fetch a small red very_dark medium ball,you must fetch a red medium very_dark ball
1471070,you must fetch a tiny very_dark ball,you must fetch a tiny very_dark yellow ball
1471092,you must fetch a medium red light key,you must fetch a medium green light key
1471348,go get a very_light large blue ball,fetch a light large blue ball
1471585,you must fetch a tiny purple dark key,go fetch a dark tiny purple key
1471841,you must fetch a medium grey dark ball,go get a dark medium grey ball
1471843,get a tiny very_light tiny ball,get a light tiny blue ball
1471873,you must fetch a neutral yellow tiny ball,fetch a grey small light ball
1471929,fetch a a green giant neutral ball,go get a neutral giant green key
1471945,fetch a green light small ball,fetch a blue very_light tiny ball
1472193,go fetch a neutral red tiny key,go get a dark tiny red key
1472217,you must fetch a giant yellow neutral ball,go fetch a purple dark giant ball
1472251,get a very_dark small yellow ball,go get a very_dark grey small ball
1472253,get a very_light tiny grey key,go fetch a tiny purple light ball
1472261,go get a dark tiny grey ball,go fetch a grey small dark ball
1472410,go fetch a giant purple very_dark key,fetch a yellow giant very_dark key
1472589,fetch a small neutral grey ball,get a tiny grey neutral key
1472629,go get a grey small neutral ball,go fetch a grey light small ball
1473101,you must neutral giant green key,you must fetch a blue neutral large key
1473150,get a green neutral small ball,fetch a small green very_dark ball
1473772,fetch a blue tiny dark ball,you must fetch a light yellow small ball
1473858,go get a small light purple key,fetch a blue tiny light key
1474027,get a large red red ball,go fetch a dark large red key
1474073,get a neutral large red key,go get a neutral red giant key
1474224,you must fetch a tiny green neutral ball,you must fetch a green tiny neutral ball
1474451,fetch a light small purple key,fetch a neutral blue tiny key
1474493,go fetch a red medium very_dark ball,you must fetch a medium dark green ball
1474724,you must fetch a blue light medium ball,go fetch a neutral purple medium key
1474734,get a tiny dark tiny ball,go fetch a grey tiny light ball
1474748,go get a dark grey medium key,go get a medium dark grey key
1474749,get a grey tiny light ball,get a neutral tiny grey ball
1474761,go fetch a medium green dark key,go get a medium red very_dark key
1474874,you must fetch very_dark yellow key,go fetch a very_dark giant yellow key
1474895,get a yellow light small ball,fetch a small light yellow ball
1475265,get a small neutral green key,get a neutral purple small key
1475544,you must fetch a giant grey neutral ball,go fetch a giant neutral grey ball
1475615,go fetch a small small green key,go get a blue small very_light key
1475618,you must fetch a very_dark medium green ball,you must fetch a dark medium green ball
1475631,go fetch a very_dark purple small ball,you must fetch a very_dark purple medium ball
1475638,go fetch a blue small very_light ball,get a blue small light ball
1475738,get a very_light small neutral ball,get a yellow small very_light ball
1475740,get a a blue large neutral ball,you must fetch a light purple large key
1475920,go get a medium grey dark ball,get a medium dark yellow ball
1475931,you must fetch a small dark purple ball,you must fetch a small grey dark key
1475941,get a blue small very_light ball,fetch a small light purple key
1476289,go fetch a red medium light key,go fetch a light red medium ball
1476294,go get a medium very_dark blue ball,get a medium dark green ball
1476365,fetch a purple light giant key,go fetch a very_dark giant purple ball
1476369,go fetch a small light yellow ball,you must fetch a purple light tiny ball
1476504,get a large purple light ball,fetch a giant purple light ball
1476581,go get a red very_dark large key,get a neutral giant red key
1476594,go fetch a medium light purple key,you must fetch a purple light medium key
1476602,go get medium a dark green medium key,go fetch a green medium dark key
1476605,you must fetch a giant neutral green ball,you must fetch a giant neutral red ball
1476619,go fetch a red small light key,fetch a small red neutral ball
1476672,go fetch a giant neutral blue key,go get a giant neutral red ball
1476690,go fetch a grey large grey key,go get a light grey large key
1476979,fetch a dark large grey key,fetch a very_dark yellow large ball
1477238,get a grey very_light large key,go fetch a yellow light giant key
1477691,fetch a tiny neutral grey key,get a yellow light small key
1478112,fetch a tiny small neutral blue ball,get a tiny dark blue ball
1478290,go get a neutral grey small ball,you must fetch a neutral small grey ball
1478324,go get a red small red ball,go get a dark small red ball
1478575,fetch a a very_dark blue large ball,get a blue very_dark large ball
1478627,get a dark blue medium key,you must fetch a medium purple dark key
1478629,go get a large purple very_dark key,get a giant purple dark key
1478672,get a small yellow neutral key,you must fetch a grey light medium key
1478867,fetch a light yellow small ball,fetch a yellow light small key
1479026,get a large red dark ball,you must fetch a medium purple neutral key
1479043,get a dark large dark blue ball,get a green dark giant ball
1479067,you must fetch a very_dark purple giant ball,you must fetch a purple giant very_dark key
1479190,fetch a small blue light key,go fetch a small purple very_light key
1479274,go get a green tiny very_dark ball,go get a red tiny very_dark key
1479484,go fetch a grey dark medium ball,get a grey neutral medium ball
1479537,go get a neutral small red key,go get a red light medium ball
1479553,go must fetch a purple light medium key,go fetch a small neutral purple key
1479651,go get a light small grey key,go fetch a yellow very_light small ball
1479785,go fetch a purple very_light giant key,fetch a very_light purple giant key
1479858,you must fetch a green very_light red ball,you must fetch a green small light key
1480115,get a very_light green red ball,get a green very_light large key
1480209,fetch a blue medium very_light ball,get a light medium red ball
1480230,fetch a small light blue key,go get a light blue tiny key
1480372,get a large neutral blue ball,get a dark giant blue ball
1480512,get a neutral blue small ball,you must fetch a green very_light tiny ball
1480633,you must fetch a grey tiny neutral key,fetch a neutral tiny yellow key
1480834,go fetch a light tiny grey key,fetch a yellow neutral tiny key
1481071,fetch a tiny dark purple ball,go fetch a tiny very_dark purple ball
1481226,fetch a green light medium key,go fetch a medium red light key
1481281,go fetch a dark giant grey key,fetch a giant dark grey key
1481448,go get a very_dark red medium ball,fetch a red medium very_dark ball
1481456,fetch a grey dark large key,go fetch a dark grey large key
1481559,get a light large blue ball,go get a large light blue ball
1481765,go get a dark purple medium ball,fetch a medium blue very_dark key
1481830,you must fetch a dark medium ball,get a medium yellow dark ball
1481885,go fetch a red very_dark large ball,you must fetch a very_dark large red key
1481992,get a red very_light medium key,get a light small red key
1482043,fetch a light medium purple key,go get a very_light blue medium key
1482071,fetch a green very_dark medium key,you must fetch a very_dark medium green key
1482098,go fetch a neutral tiny green ball,go get a neutral green tiny key
1482154,fetch a blue very_dark large ball,go get a blue very_dark large ball
1482547,go fetch a very_dark giant yellow key,go get a giant yellow very_dark key
1482936,get a small green very_light ball,go fetch a small very_light green key
1482940,go a neutral giant yellow ball,you must fetch a giant dark purple ball
1482961,go get a blue tiny very_light ball,go get a blue very_light tiny ball
1483071,go get a giant light purple key,go fetch a green neutral giant key
1483097,you must fetch a blue neutral giant key,fetch a light giant purple ball
1483289,you must fetch a neutral grey medium ball,fetch a small light grey ball
1483311,go fetch a green large red key,go fetch a giant neutral red key
1483402,you must fetch a blue dark medium ball,go fetch a very_dark medium blue key
1483763,get a large blue dark key,fetch a dark large blue key
1483791,get a light tiny grey ball,go get a grey tiny very_light ball
1483815,get a very_dark blue large ball,get a very_dark large blue ball
1483869,you must fetch a medium dark blue ball,you must fetch a tiny blue light key
1483913,fetch a neutral giant purple key,you must fetch a dark giant blue key
1484418,you must fetch a grey small neutral key,get a small neutral grey ball
1484463,get a red dark large ball,go get a red large dark ball
1484473,go get a medium purple neutral ball,fetch a large light blue ball
